V1,V2,V4,filter_$,VAR00002,hour
B75623,1000233,10/17/2014,1,3,7
D38165,1000233,10/17/2014,1,3,7
E79496,1000233,10/17/2014,1,3,7
E40016,1000233,10/17/2014,1,3,7
C78425,1000233,10/17/2014,1,3,7
C45577,1000233,10/17/2014,1,3,7
E63135,1000233,10/17/2014,1,3,7
C76764,1000233,10/17/2014,1,3,7
B69708,1000233,10/17/2014,1,3,7
C32047,1000233,10/17/2014,1,3,7
E79226,1000233,10/17/2014,1,3,7
A46957,1000233,10/17/2014,1,3,7
A69512,1000233,10/17/2014,1,3,7
B69708,1000233,10/17/2014,1,3,7
E36156,1000233,10/17/2014,1,3,7
E36156,1000233,10/17/2014,1,3,7
A76975,1000233,10/17/2014,1,3,7
B77569,1000233,10/17/2014,1,3,7
A77110,1000233,10/17/2014,1,3,7
E56197,1000233,10/17/2014,1,3,7
B46975,1000233,10/17/2014,1,3,7
D62960,1000233,10/17/2014,1,3,7
A69512,1000233,10/17/2014,1,3,7
A73410,1000233,10/17/2014,1,3,7
B40040,1000233,10/17/2014,1,3,7
C76754,1000233,10/17/2014,1,3,7
